  League,  Season, Date,  Opposition, Location, Result,  Guildford Points, Opposition Points,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 
 London 3 SW, 2008-09,31/01/2009, Wimbledon, Away, Lose,12 ,23 , M Watkinson, J Lowe, M Lambourne, R Mitchell, J Phillips, J Burrows, D Horsburgh, J Kirk, M Holding, T Brown, C Alder, A Vernon, L Kavanagh, D Elley, N Clarke, T Bridgland, M Stuart, I Stewart
 London 3 SW, 2008-09,24/01/2009, Bognor, Home, Win,29 ,10 , M Watkinson, J Lowe, B Mairs, R Mitchell, J Phillips, S McCarthy, D Horsburgh, J Kirk, R Brooker, T Brown, C Alder, A Vernon, L Kavanagh, D Elley, N Clarke, T Bridgland, M Lambourne, M Stuart
 London 3 SW, 2008-09,17/01/2009, Chichester, Away, Win,14 ,10 , M Watkinson, J Lowe, B Mairs, R Mitchell, K Outen, S McCarthy, J Phillips, J Kirk, R Brooker, T Brown, L Kavanagh, A Vernon, I Stewart, D Elley, N Clarke, T Bridgland, D Horsburgh, M Stuart
 London 3 SW, 2008-09,20/12/2008, Guernsey, Home, Win,23 ,19 , T Bridgland, A Kallin, B Mairs, A Turns, S McCarthy, D Horsburgh, M Stuart, J Kirk, R Brooker, L Sayer, C Alder, T Brown, I Stewart, A Wilde, N Clarke, M Watkinson, J Burrows, M Lambourne
 London 3 SW, 2008-09,06/12/2008, Winchester, Away, Win,43 ,12 , T Bridgland, J Hatcher, M Lambourne, A Turns, S McCarthy, D Horsburgh, J Burrows, J Kirk, R Brooker, L Sayer, C Alder, T Brown, I Stewart, A Wilde, N Clarke, A Plaistowe, M Watkinson, M Stuart
 London 3 SW, 2008-09,22/11/2008, Effingham & Leatherhead, Home, Win,16 ,14 , M Watkinson, J Hatcher, M Lambourne, J Phillips, S McCarthy, D Horsburgh, M Stuart, J Kirk, R Brooker, A Plaistowe, C Alder, L Kavanagh, T Brown, W Walker, N Clarke, T Bridgland, J Burrows, J Conway
 London 3 SW, 2008-09,15/11/2008, Guernsey, Away, Win,15 ,12 , M Watkinson, J Hatcher, M Lambourne, J Phillips, S McCarthy, D Horsburgh, M Stuart, J Kirk, R Brooker, T Brown, C Alder, C Carroll, I Stewart, L Kavanagh, N Clarke, T Bridgland, A Vernon, W Walker
 London 3 SW, 2008-09,08/11/2008, Chichester, Home, Lose,7 ,19 , M Watkinson, A Kallin, M Lambourne, R Mitchell, S McCarthy, J Burrows, B O'Neill, J Phillips, R Brooker, I Stewart, C Alder, A Vernon, N Clarke, A Wilde, L Sayer, T Bridgland, L Kavanagh, W Walker
 London 3 SW, 2008-09,01/11/2008, Bognor, Away, Lose,5 ,12 , M Watkinson, A Kallin, M Lambourne, R Mitchell, S McCarthy, R Brooker, M Stuart, J Phillips, W Walker, I Stewart, C Alder, A Vernon, L Kavanagh, A Wilde, N Clarke, J Hatcher, J Burrows, C Maguire
 London 3 SW, 2008-09,24/10/2008, Wimbledon, Home, Win,20 ,3 , M Watkinson, A Kallin, M Lambourne, R Mitchell, S McCarthy, J Kirk, J Burrows, J Phillips, R Brooker, I Stewart, L Kavanagh, A Vernon, C Maguire, A Wilde, L Sayer, S Scott, M Evans, B Mairs
 London 3 SW, 2008-09,11/10/2008, KCS Old Boys, Home, Win,55 ,5 , J Blignaut, J Hatcher, M Lambourne, R Mitchell, S McCarthy, R Brooker, J Kirk, J Phillips, S Scott, T Brown, M Evans, I Stewart, A Vernon, A Wilde, L Sayer, T Bridgland, D Kellerman, L Kavanagh
 London 3 SW, 2008-09,04/10/2008, Tottonians, Away, Lose,5 ,26 , M Watkinson, J Hatcher, M Lambourne, M Powell, S McCarthy, J Burrows, D Kellerman, J Kirk, R Brooker, T Brown, M Evans, I Stewart, A Vernon, A Wilde, L Sayer, T Bridgland, A Turns, S Scott
 London 3 SW, 2008-09,27/09/2008, London Irish Amateur, Home, Win,57 ,10 , M Watkinson, J Hatcher, J Lowe, R Mitchell, S McCarthy, J Burrows, J Kirk, K Outen, R Brooker, T Brown, M Evans, I Stewart, A Vernon, A Wilde, L Sayer, M Lambourne, J Phillips, S Scott
 London 3 SW, 2008-09,20/09/2008, London Cornish, Away, Draw,17 ,17 , M Watkinson, J Hatcher, J Lowe, R Mitchell, K Outen, J Burrows, B O'Neill, J Kirk, R Brooker, T Brown, S Phillips, I Stewart, M Evans, A Wilde, L Sayer, M Lambourne, M Stuart, S Scott
 London 3 SW, 2008-09,13/09/2008, London South Africa, Home, Win,36 ,17 , M Watkinson, J Hatcher, J Lowe, R Mitchell, K Outen, S McCarthy, B O'Neill, J Kirk, S Scott, T Brown, C Alder, I Stewart, A Vernon, A Wilde, R Brooker, M Lambourne, J Burrows, L Sayer

